StudentID,Student_Name,Have_Speaking_Skill?,Have_Leadership_Skill?,Average_Extracurricular_Activity_Marks,Average_Subject_Marks,Average_Group_Work_Marks,Favourite_Sports,Favourite_Hobby,Have_Presentation_Skill?,Gender,Friends,Favourite_Subject,Is_Social?,Average_Teacher_Rating_For_Group_Works
1,Gaurav Patel,No,No,51.49,70.64,70.21,"['Basketball', 'Rugby']",Writing,Yes,Male,"Naveen, Singh, Mehta",Maths,Yes,3.7
2,Naveen Sharma,No,Yes,71.52,82.97,72.89,"['Basketball', 'Rugby']",Painting,No,Female,"Rao, Kavya, Verma",English,No,3.8
3,Aakash Mehta,Yes,No,61.08,65.53,74.37,"['Rugby', 'Basketball']",Playing guitar,Yes,Female,Sunil,History,No,4.1
4,Neha Patel,No,Yes,60.93,76.42,69.77,['Swimming'],Gardening,No,Male,"Aditya, Nalini",History,Yes,4.2
5,Gaurav Kaur,No,No,59.84,77.28,55.97,"['Swimming', 'Tennis']",Cooking,No,Male,"Sejal, Kapoor, Gamage",History,No,2.5
6,Priyanka Singh,Yes,No,59.25,73.07,59.39,['Basketball'],Cooking,No,Female,"Amara, Mehta",Maths,No,3.2
7,Arjun Patel,Yes,No,58.52,80.92,72.49,['Football'],Cooking,Yes,Female,Simran,Art,Yes,3.5
8,Karan Sharma,No,No,57.41,73.79,51.35,['Basketball'],Writing,No,Female,"Riya, Singh",English,Yes,3.1
9,Priyanka Desai,Yes,Yes,73.8,68.54,52.9,"['Volleyball', 'Cricket']",Dancing,No,Male,Reena,Maths,No,5
10,Naveen Rao,No,Yes,56.27,72.73,58.59,['Rugby'],Photography,Yes,Male,"Singh, Desai",Maths,Yes,3.9
11,Anushka Fernando,No,No,50.24,82.49,52.02,['Cricket'],Painting,No,Male,"Singh, Singh",Art,No,3
12,Dev Desai,Yes,Yes,64.58,82.96,50.48,"['Football', 'Tennis']",Music,No,Male,Kavya,Science,Yes,3.4
13,Anjali Sharma,Yes,Yes,62.68,75.98,69.71,"['Netball', 'Basketball']",Cooking,No,Female,Mehta,Art,Yes,4.1
14,Kavya Gamage,No,No,50.67,80.07,71.5,['Tennis'],Photography,Yes,Male,Mehta,History,Yes,2.7
15,Arun Desai,Yes,Yes,54.62,83.76,52.96,"['Netball', 'Swimming']",Dancing,Yes,Female,Kasun,English,Yes,3.4
16,Dev Patel,Yes,Yes,68.74,73.28,60.67,['Netball'],Gardening,Yes,Female,Kularatne,Science,No,4.5
17,Rohit Kapoor,Yes,Yes,50.42,67.1,54.41,['Football'],Music,Yes,Male,"Aman, Mehta, Nalini",Science,No,3.4
18,Nimesh Kapoor,No,Yes,51.6,68.06,72.03,"['Football', 'Rugby']",Gardening,Yes,Male,"Arjun, Raj",History,No,4.9
19,Dasun Patel,No,Yes,52.97,76.56,66.72,['Rugby'],Cooking,Yes,Male,"Aakash, Sanjana",Maths,Yes,3.6
20,Riya Rao,No,Yes,51.86,67.89,51.98,"['Football', 'Cricket']",Playing guitar,No,Female,Kularatne,Art,Yes,3.3
21,Rahul Raj,No,Yes,52.21,72.64,64.15,"['Basketball', 'Football']",Dancing,No,Female,Riya,Science,No,4
22,Riya Rana,No,No,65.88,71.43,65.58,['Basketball'],Photography,No,Male,"Verma, Dasun, Kaur",Science,No,4.2
23,Pooja Ariyarathna,No,Yes,55.93,78.12,60.39,"['Tennis', 'Netball']",Dancing,No,Male,"Raj, Sharma",Maths,No,3.2
24,Nalini Verma,Yes,No,68.35,67.27,58.35,['Swimming'],Cooking,Yes,Male,"Arjun, Shreya",English,No,3
25,Rohit Sharma,Yes,No,69.86,75.55,50.43,"['Netball', 'Rugby']",Playing guitar,Yes,Male,Kapoor,Science,Yes,4.5
26,Sunil Sharma,Yes,No,55.81,72.68,63.01,"['Netball', 'Tennis']",Photography,No,Male,Arun,English,Yes,4.2
27,Priyanka Raj,No,Yes,52.69,84.54,74.86,['Football'],Painting,Yes,Male,"Simran, Perera, Singh",Art,Yes,3.9
28,Sneha Patel,Yes,No,61.38,75.53,73.5,"['Swimming', 'Football']",Music,No,Female,"Vikram, Shreya, Karan",History,No,4.8
29,Neha Kularatne,Yes,No,59.36,78.95,55.98,['Cricket'],Photography,Yes,Female,Desai,Science,No,3.6
30,Sanjana Singh,No,Yes,50.3,83.58,67.74,"['Rugby', 'Football']",Painting,No,Female,"Kularatne, Verma",Science,Yes,3.7
31,Naveen Verma,No,Yes,58.5,66.4,68.37,"['Netball', 'Cricket']",Dancing,No,Male,"Amara, Anjali",Maths,No,3.3
32,Aakash Perera,Yes,No,68.85,69.52,64.04,"['Rugby', 'Swimming']",Reading,No,Male,Dasun,Art,No,4.7
33,Karan Singh,No,No,74.68,83.86,74.73,['Basketball'],Music,Yes,Male,"Reena, Sharma",Maths,Yes,3.8
34,Dev Verma,Yes,No,50.88,73.24,70.78,"['Rugby', 'Netball']",Writing,Yes,Male,"Gaurav, Dasun, Anil",Maths,No,2.5
35,Gaurav Mehta,Yes,Yes,65.31,65.47,71.35,['Rugby'],Gardening,Yes,Female,Perera,Maths,Yes,2.9
36,Karan Raj,No,No,66.16,84.27,74.43,['Rugby'],Writing,No,Female,Sharma,Maths,No,4.5
37,Aakash Kapoor,Yes,No,51.4,72.71,62.9,['Cricket'],Dancing,No,Female,"Aman, Patel, Riya",Science,Yes,3.4
38,Vinay Rao,Yes,Yes,61.75,77.74,51.52,"['Swimming', 'Netball']",Writing,Yes,Female,"Manish, Sharma, Dasun",English,Yes,4.6
39,Rohan Mehta,No,Yes,74.08,70.69,65.26,"['Netball', 'Cricket']",Music,Yes,Male,Verma,History,No,3.7
40,Riya Sharma,Yes,No,62.2,77.96,71.79,"['Rugby', 'Swimming']",Photography,Yes,Male,"Desai, Mehta, Sanjana",Art,No,3.8
41,Reena Sharma,Yes,No,60.83,84.03,66.36,"['Cricket', 'Tennis']",Playing guitar,Yes,Female,"Desai, Singh, Gamage",Art,No,3.7
42,Naveen Patel,No,Yes,67.28,73.54,66.21,['Swimming'],Writing,No,Female,"Vikas, Patel, Verma",Maths,No,4
43,Sneha Sharma,Yes,Yes,73.41,72.79,68.23,['Football'],Painting,No,Female,Anil,English,No,4.4
44,Neha Kaur,No,Yes,67.32,65.21,73,['Rugby'],Reading,Yes,Male,Dev,Science,Yes,3.4
45,Kunal Rana,Yes,No,64.62,65.72,70.29,"['Rugby', 'Netball']",Painting,Yes,Female,"Raj, Neha, Mohit",History,Yes,3.4
46,Kunal Patel,Yes,No,61.49,66.33,60.24,"['Cricket', 'Rugby']",Photography,No,Male,"Rajesh, Dev",Art,No,4
47,Naveen Raj,No,No,61.91,77.36,50.22,['Volleyball'],Gardening,Yes,Female,"Manish, Gamage",Science,Yes,3.2
48,Priyanka Silva,No,No,55.36,77.95,66.09,['Cricket'],Writing,No,Male,"Patel, Singh",Maths,No,3.3
49,Rahul Sharma,No,Yes,59.24,77.73,74.79,"['Volleyball', 'Tennis']",Gardening,No,Female,"Das, Kavita",Art,No,4.4
50,Rohit Kapoor,No,Yes,73.5,70.21,62.5,"['Swimming', 'Tennis']",Playing guitar,No,Male,Anushka,English,No,3
51,Sneha Singh,Yes,Yes,69.65,77.85,55.54,['Football'],Music,No,Female,"Kavita, Rao",History,Yes,2.7
